NEW_CODE,SITE,YEAR,totalArea,density,count
1,1,1983,40,0.35,14
1,1,1984,40,0.33,13
1,1,1985,40,0.4,16
1,1,1986,40,1.93,77
1,1,1987,40,0.45,18
1,1,1988,40,1.1,44
1,1,1989,40,0.53,21
1,1,1990,40,0.65,26
1,1,1991,40,0.68,27
1,1,1992,40,0.55,22
1,1,1993,40,0.5,20
1,1,1994,40,0.38,15
1,1,1995,40,0.38,15
1,1,1996,24,0.5,12
1,1,1997,24,1.38,33
1,1,1998,24,0.21,5
1,1,1999,24,0.58,14
1,1,2000,24,0.04,1
1,1,2001,24,0.21,5
1,1,2002,24,0.63,15
1,1,2003,24,0.63,15
1,1,2004,24,0.13,3
1,1,2005,24,0.33,8
1,1,2006,24,1.17,28
1,1,2007,24,0.71,17
1,1,2008,24,0.54,13
1,1,2009,24,0.63,15
1,1,2010,24,0.92,22
1,1,2011,24,0.33,8
2,1,1982,30,0.1,3
2,1,1983,40,0.05,2
2,1,1984,40,0,0
2,1,1985,40,0.6,24
2,1,1986,40,1.85,74
2,1,1987,40,0.35,14
2,1,1988,40,0.33,13
2,1,1989,40,0.45,18
2,1,1990,40,0.5,20
2,1,1991,40,0.1,4
2,1,1992,40,0,0
2,1,1993,40,0.03,1
2,1,1994,40,0.38,15
2,1,1995,40,0.33,13
2,1,1996,24,0,0
2,1,1997,24,0.25,6
2,1,1998,24,0.5,12
2,1,1999,24,2.88,69
2,1,2000,24,6.67,160
2,1,2001,24,5.04,121
2,1,2002,24,1.33,32
2,1,2003,24,0.75,18
2,1,2004,24,2.71,65
2,1,2005,24,0,0
2,1,2006,24,0.04,1
2,1,2007,24,0.54,13
2,1,2008,24,0.21,5
2,1,2009,24,0.21,5
2,1,2010,24,0.46,11
2,1,2011,24,0.33,8
3,1,1982,30,0.57,17
3,1,1983,40,0.75,30
3,1,1984,40,0.3,12
3,1,1985,40,1.45,58
3,1,1986,40,3.05,122
3,1,1987,40,1.75,70
3,1,1988,40,1.83,73
3,1,1989,40,2.63,105
3,1,1990,40,2.5,100
3,1,1991,40,0.6,24
3,1,1992,40,0.58,23
3,1,1993,40,0.55,22
3,1,1994,40,0.45,18
3,1,1995,40,0.5,20
3,1,1996,24,0,0
3,1,1997,24,0.29,7
3,1,1998,24,1.54,37
3,1,1999,24,0.96,23
3,1,2000,24,1.88,45
3,1,2001,24,5.42,130
3,1,2002,24,6.13,147
3,1,2003,24,7.04,169
3,1,2004,24,4.83,116
3,1,2005,24,0.33,8
3,1,2006,24,2.25,54
3,1,2007,24,0.21,5
3,1,2008,24,0.21,5
3,1,2009,24,0.42,10
3,1,2010,24,0.25,6
3,1,2011,24,1,24
4,1,1982,30,0,0
4,1,1983,40,0,0
4,1,1984,40,0,0
4,1,1985,40,0,0
4,1,1986,40,0,0
4,1,1987,40,0,0
4,1,1988,40,0,0
4,1,1989,40,0.03,1
4,1,1990,40,0,0
4,1,1991,40,0,0
4,1,1992,40,0,0
4,1,1993,40,0,0
4,1,1994,40,0.03,1
4,1,1995,40,0.03,1
4,1,1996,24,0,0
4,1,1997,24,0,0
4,1,1998,24,0,0
4,1,1999,24,0.08,2
4,1,2000,24,0.08,2
4,1,2001,24,0,0
4,1,2002,24,0,0
4,1,2003,24,0,0
4,1,2004,24,0,0
4,1,2005,24,0.08,2
4,1,2006,24,0.25,6
4,1,2007,24,0,0
4,1,2008,24,0.08,2
4,1,2009,24,0.04,1
4,1,2010,24,0,0
4,1,2011,24,0,0
5,1,1983,400,0,0
5,1,1984,400,0,0
5,1,1985,720,0,2
5,1,1986,720,0,3
5,1,1987,720,0.01,5
5,1,1988,720,0.01,8
5,1,1989,720,0.02,18
5,1,1990,720,0.01,9
5,1,1991,720,0.05,35
5,1,1992,720,0.01,5
5,1,1993,720,0.01,9
5,1,1994,720,0.01,6
5,1,1995,720,0,1
5,1,1996,720,0,0
5,1,1997,720,0.01,6
5,1,1998,720,0.01,9
5,1,1999,720,0.01,6
5,1,2000,720,0.03,18
5,1,2001,720,0.03,20
5,1,2002,720,0.01,7
5,1,2003,720,0.01,6
5,1,2004,720,0.02,14
5,1,2005,720,0.03,23
5,1,2006,720,0.01,10
5,1,2007,720,0.02,16
5,1,2008,720,0,2
5,1,2009,720,0.01,8
5,1,2010,720,0.01,6
5,1,2011,720,0.03,19
6,1,1983,400,0.02,8
6,1,1984,400,0.01,2
6,1,1985,720,0.02,11
6,1,1986,720,0.04,29
6,1,1987,720,0.01,4
6,1,1988,720,0.04,31
6,1,1989,720,0.02,14
6,1,1990,720,0,2
6,1,1991,720,0.04,31
6,1,1992,720,0.03,23
6,1,1993,720,0,3
6,1,1994,720,0,3
6,1,1995,720,0.02,16
6,1,1996,720,0.02,17
6,1,1997,720,0.03,18
6,1,1998,720,0.02,11
6,1,1999,720,0.02,16
6,1,2000,720,0.02,13
6,1,2001,720,0.05,37
6,1,2002,720,0.06,40
6,1,2003,720,0.06,43
6,1,2004,720,0.05,39
6,1,2005,720,0.04,26
6,1,2006,720,0.04,28
6,1,2007,720,0.1,69
6,1,2008,720,0.06,45
6,1,2009,720,0.08,54
6,1,2010,720,0.04,31
6,1,2011,720,0.12,89
7,1,1983,400,0,0
7,1,1984,400,0,0
7,1,1985,720,0,0
7,1,1986,720,0,0
7,1,1987,720,0,0
7,1,1988,720,0,0
7,1,1989,720,0,0
7,1,1990,720,0,0
7,1,1991,720,0,0
7,1,1992,720,0,0
7,1,1993,720,0,0
7,1,1994,720,0,0
7,1,1995,720,0,0
7,1,1996,720,0,0
7,1,1997,720,0,0
7,1,1998,720,0,0
7,1,1999,720,0,0
7,1,2000,720,0,0
7,1,2001,720,0,0
7,1,2002,720,0,0
7,1,2003,720,0,0
7,1,2004,720,0,0
7,1,2005,720,0,0
7,1,2006,720,0,0
7,1,2007,720,0,0
7,1,2008,720,0,0
7,1,2009,720,0,0
7,1,2010,720,0,0
7,1,2011,720,0,0
8,1,1982,30,0,0
8,1,1983,40,0,0
8,1,1984,40,0,0
8,1,1985,40,0,0
8,1,1986,40,0,0
8,1,1987,40,0,0
8,1,1988,40,0,0
8,1,1989,40,0,0
8,1,1990,40,0,0
8,1,1991,40,0,0
8,1,1992,40,0,0
8,1,1993,40,0,0
8,1,1994,40,0,0
8,1,1995,40,0,0
8,1,1996,24,0,0
8,1,1997,24,0,0
8,1,1998,24,0,0
8,1,1999,24,0,0
8,1,2000,24,0,0
8,1,2001,24,0,0
8,1,2002,24,0,0
8,1,2003,24,0,0
8,1,2004,24,0,0
8,1,2005,24,0,0
8,1,2006,24,0,0
8,1,2007,24,0,0
8,1,2008,24,0,0
8,1,2009,24,0,0
8,1,2010,24,0,0
8,1,2011,24,0,0
9,1,1982,30,0.27,8
9,1,1983,40,0.08,3
9,1,1984,40,0.28,11
9,1,1985,40,0.05,2
9,1,1986,40,0.75,30
9,1,1987,40,0,0
9,1,1988,40,0.05,2
9,1,1989,40,0.03,1
9,1,1990,40,0.05,2
9,1,1991,40,0.08,3
9,1,1992,40,0.08,3
9,1,1993,40,0.38,15
9,1,1994,40,0.05,2
9,1,1995,40,0.2,8
9,1,1996,24,0,0
9,1,1997,24,0.04,1
9,1,1998,24,1.96,47
9,1,1999,24,1.79,43
9,1,2000,24,3.38,81
9,1,2001,24,0.63,15
9,1,2002,24,0.42,10
9,1,2003,24,0.71,17
9,1,2004,24,0.21,5
9,1,2005,24,0.88,21
9,1,2006,24,1,24
9,1,2007,24,0.58,14
9,1,2008,24,1.96,47
9,1,2009,24,1.42,34
9,1,2010,24,1.96,47
9,1,2011,24,0.96,23
10,1,1982,30,0.23,7
10,1,1983,40,0.2,8
10,1,1984,40,0.13,5
10,1,1985,40,0.1,4
10,1,1986,40,0.18,7
10,1,1987,40,0.23,9
10,1,1988,40,0.28,11
10,1,1989,40,0.5,20
10,1,1990,40,0.38,15
10,1,1991,40,0.13,5
10,1,1992,40,0.18,7
10,1,1993,40,0.15,6
10,1,1994,40,0.25,10
10,1,1995,40,0.03,1
10,1,1996,24,0,0
10,1,1997,24,0.33,8
10,1,1998,24,0.08,2
10,1,1999,24,0.13,3
10,1,2000,24,0.04,1
10,1,2001,24,0,0
10,1,2002,24,0.21,5
10,1,2003,24,0.25,6
10,1,2004,24,0.04,1
10,1,2005,24,0.04,1
10,1,2006,24,0.04,1
10,1,2007,24,0.04,1
10,1,2008,24,0,0
10,1,2009,24,0.13,3
10,1,2010,24,0.04,1
10,1,2011,24,0.08,2
11,1,1982,30,1.6,48
11,1,1983,40,1.45,58
11,1,1984,40,0.7,28
11,1,1985,40,0.78,31
11,1,1986,40,1.28,51
11,1,1987,40,0.93,37
11,1,1988,40,1.08,43
11,1,1989,40,1.1,44
11,1,1990,40,1.15,46
11,1,1991,40,1.35,54
11,1,1992,40,2.28,91
11,1,1993,40,1.48,59
11,1,1994,40,2.05,82
11,1,1995,40,1.08,43
11,1,1996,24,1.17,28
11,1,1997,24,1.96,47
11,1,1998,24,2.08,50
11,1,1999,24,2.13,51
11,1,2000,24,1.46,35
11,1,2001,24,2.04,49
11,1,2002,24,1.21,29
11,1,2003,24,2.04,49
11,1,2004,24,2,48
11,1,2005,24,2.38,57
11,1,2006,24,2.29,55
11,1,2007,24,2.13,51
11,1,2008,24,2.33,56
11,1,2009,24,2.25,54
11,1,2010,24,2.29,55
11,1,2011,24,2.63,63
12,1,1983,400,0,0
12,1,1984,400,0,0
12,1,1985,720,0,1
12,1,1986,720,0,1
12,1,1987,720,0,1
12,1,1988,720,0,0
12,1,1989,720,0,0
12,1,1990,720,0,0
12,1,1991,720,0,0
12,1,1992,720,0,0
12,1,1993,720,0,0
12,1,1994,720,0,0
12,1,1995,720,0,0
12,1,1996,720,0,0
12,1,1997,720,0,2
12,1,1998,720,0,0
12,1,1999,720,0,0
12,1,2000,720,0,0
12,1,2001,720,0,0
12,1,2002,720,0,1
