indexNo,site
2,20
2,19
2,7
2,12
2,18
3,6
3,21
3,17
3,10
3,14
3,7
4,13
4,21
4,18
4,22
4,16
4,20
5,2
5,3
5,1
5,21
5,10
6,15
6,11
6,5
6,7
6,1
6,6
7,10
7,23
7,17
7,9
7,5
7,6
8,23
8,20
8,15
8,6
8,14
8,5
9,17
9,1
9,13
9,2
9,19
10,14
10,17
10,1
10,19
10,8
10,6
11,4
11,19
11,12
11,14
11,2
12,9
12,10
12,16
12,11
12,20
12,15
13,16
13,21
13,11
13,19
13,6
13,4
14,7
14,8
14,11
14,3
14,2
14,16
15,7
15,19
15,4
15,20
15,16
16,9
16,3
16,14
16,13
16,4
17,16
17,9
17,3
17,8
17,23
18,13
18,16
18,21
18,20
18,3
18,11
19,14
19,12
19,16
19,9
19,22
20,5
20,13
20,17
20,20
20,19
21,22
21,4
21,21
21,1
21,8
22,1
22,20
22,13
22,12
22,6
23,15
23,14
23,20
23,4
23,21
23,10
24,18
24,6
24,10
24,3
24,8
25,12
25,18
25,3
25,15
25,23
25,9
26,2
26,15
26,16
26,21
26,23
26,12
27,12
27,17
27,13
27,1
27,15
28,5
28,3
28,10
28,1
28,2
28,7
29,19
29,17
29,6
29,9
29,2
29,13
30,10
30,22
30,16
30,7
30,14
31,21
31,17
31,20
31,8
31,5
31,6
32,21
32,1
32,5
32,2
32,18
32,13
33,7
33,18
33,16
33,12
33,20
33,11
34,11
34,17
34,14
34,3
34,2
35,11
35,23
35,14
35,20
35,3
35,5
36,10
36,7
36,19
36,14
36,20
37,8
37,3
37,13
37,20
37,10
38,7
38,6
38,1
38,14
38,8
38,4
39,23
39,16
39,21
39,4
39,9
40,22
40,7
40,9
40,18
40,5
40,6
41,18
41,5
41,8
41,10
41,7
41,20
42,23
42,5
42,2
42,4
42,17
43,1
43,10
43,18
43,20
43,13
43,6
44,12
44,23
44,14
44,8
44,3
45,20
45,4
45,2
45,7
45,14
46,5
46,1
46,21
46,14
46,6
47,14
47,18
47,12
47,15
47,8
48,22
48,15
48,16
48,21
48,17
48,9
49,11
49,3
49,6
49,8
49,5
50,17
50,9
50,7
50,3
50,12
51,8
51,20
51,5
51,2
51,6
51,13
52,17
52,22
52,23
52,16
52,2
52,14
53,1
53,9
53,5
53,19
53,20
53,10
54,11
54,14
54,19
54,16
54,6
54,13
55,19
55,4
55,7
55,9
55,22
55,1
56,4
56,6
56,5
56,2
56,11
57,6
57,19
57,17
57,10
57,23
57,3
58,23
58,3
58,7
58,12
58,16
59,17
59,18
59,14
59,12
59,11
59,21
60,9
60,3
60,1
60,20
60,14
60,2
61,1
61,23
61,6
61,16
61,17
61,13
62,10
62,21
62,11
62,9
62,12
62,2
63,3
63,6
63,8
63,4
63,22
63,21
64,20
64,17
64,18
64,14
64,22
64,2
65,3
65,13
65,4
65,22
65,10
65,6
66,23
66,14
66,4
66,20
66,19
66,8
67,12
67,16
67,11
67,5
67,2
67,8
68,8
68,14
68,21
68,23
68,19
68,17
69,22
69,3
69,8
69,13
69,23
70,1
70,5
70,8
70,22
70,2
70,9
71,17
71,8
71,5
71,13
71,4
72,20
72,1
72,7
72,10
72,4
73,22
73,6
73,2
73,7
73,18
74,7
74,14
74,6
74,8
74,16
74,22
75,9
75,19
75,17
75,13
75,18
76,4
76,21
76,20
76,23
76,2
76,7
77,10
77,19
77,4
77,13
77,1
78,10
78,1
78,15
78,23
78,16
78,14
79,8
79,7
79,2
79,10
79,6
79,15
80,1
80,17
80,3
80,2
80,12
80,4
81,2
81,20
81,10
81,12
81,6
82,1
82,17
82,8
82,13
82,9
82,16
83,1
