"Estimate","confint","Source","Response"
-0.712030914551923,"[-1.01 : -0.42]","cv","Power"
0.993139800146676,"[0.68 : 1.31]","N","Power"
0.148758693796365,"[-0.13 : 0.43]","sv","Power"
-0.506891799236536,"[-0.85 : -0.17]","acf","Power"
0.117091904351076,"[-0.15 : 0.39]","Y","Power"
-0.240816442141659,"[-0.49 : 0.01]","cv","False Detections"
0.373998626536597,"[0.06 : 0.69]","N","False Detections"
-0.184858658298831,"[-0.45 : 0.08]","sv","False Detections"
0.283548432686672,"[-0.02 : 0.59]","acf","False Detections"
-0.0792329623371606,"[-0.40 : 0.24]","Y","False Detections"
