taxa_name,binomial
Astrangia,Astrangia lajollaensis
Balanophyllia,Balanophyllia elegans
Black Surfperch,Embiotoca jacksoni
Blackeye Goby,Rhinogobiops nicholsii
Blacksmith,Chromis punctipinnis
Blue Rockfish,Sebastes mystinus
Blue-banded_Goby,Lythrypnus dalli
California Sheephead,Semicossyphus pulcher
Corynactis,Corynactis californica
Cystoseira,Cystoseira osmundacea
Desmarestia,Desmarestia ligulata
Diopatra,Diopatra ornata
Eisenia,Eisenia arborea
Garibaldi,Hypsypops rubicundus
Haliotis corrugata,Haliotis corrugata
Haliotis rufescens,Haliotis rufescens
Kelp Bass,Paralabrax clathratus
Kelp Rockfish,Sebastes atrovirens
Lithopoma,Megastraea undosa
Macrocystis,Macrocystis pyrifera
Megathura,Megathura crenulata
Olive Rockfish,Sebastes serranoides
Opaleye,Girella nigricans
P. giganteus,Pisaster giganteus
Pachythyone,Pachythyone rubra
Patiria,Patiria miniata
Phragmatopoma,Phragmatopoma californica
Pile Perch,Rhacochilus vacca
Pterygophora,Pterygophora californica
Purple urchin,Strongylocentrotus purpuratus
Pycnopodia,Pycnopodia helianthoides
Red urchin,Mesocentrotus franciscanus
Rock wrasse,Halichoeres semicinctus
Senorita,Oxyjulis californica
Serpulorbis,Serpulorbis squamigerus
Striped Surfperch,Embiotoca lateralis
