"","species","severity","domain","log_estimate","sig_negative","sig_positive","ns","nodata","noconv","mean_serialcor","mean_cv","mean_synchrony","ctl_n","imp_n","ctl_n_years","imp_n_years","taxa_name","taxa_group","measurement"
"1",1,-4,"quart",1.407075765,0.003,0.347,0.604,0,0.046,0.163265134148476,1.13541057222707,0.104011009131799,15.439,4.931,15.3696318070818,15.5183833333333,"Macrocystis","algae","count"
"2",1,0,"quart",0.098458342,0.023,0.043,0.893,0,0.041,0.16432161747056,1.13464242885035,0.102771651853795,15.433,4.948,15.3683416594843,15.5535166666667,"Macrocystis","algae","count"
"3",1,0.8,"quart",-1.26116845618,0.328,0.005,0.624,0,0.043,0.16501257562818,1.13392399820821,0.101529342079344,15.425,4.932,15.3869893009768,15.5255333333333,"Macrocystis","algae","count"
"4",2,-4,"quart",0.970782718,0.014,0.537,0.429,0,0.02,0.428145347984053,0.709464427632107,0.272815569735602,17.523,5.477,15.4089117647059,15.6216666666667,"Purple urchin","mobile Invert","count"
"5",2,0,"quart",-0.569534241,0.181,0.074,0.681,0,0.064,0.429198665987098,0.704101640505189,0.268312466831351,17.495,5.505,15.402137254902,15.6127333333333,"Purple urchin","mobile Invert","count"
"6",2,0.8,"quart",-2.0646587859,0.646,0.013,0.233,0,0.108,0.430973067729375,0.712086702700704,0.27455307106003,17.494,5.506,15.3869281045752,15.5832333333333,"Purple urchin","mobile Invert","count"
"7",3,-4,"quart",1.484500207,0.001,0.921,0.076,0,0.002,0.3424366871802,0.59307327421345,0.221188335015398,17.515,5.485,15.3839673202614,15.5971666666667,"Red urchin","mobile Invert","count"
"8",3,0,"quart",-0.1061384415,0.119,0.068,0.813,0,0,0.343179529345697,0.592300548656031,0.219161362627065,17.472,5.528,15.4036078431373,15.6225666666667,"Red urchin","mobile Invert","count"
"9",3,0.8,"quart",-1.598098278,0.896,0,0.095,0,0.009,0.343143625565597,0.592664483095043,0.218043960799015,17.502,5.498,15.4048464052288,15.5881,"Red urchin","mobile Invert","count"
"10",4,-4,"quart",1.4600015639,0.007,0.286,0.657,0,0.05,0.219879074709975,1.15063751697387,0.169374342567908,13.447,4.359,15.4903377455877,15.66385,"Pterygophora","algae","count"
"11",4,0,"quart",0.141198159,0.067,0.083,0.81,0,0.04,0.21851886667706,1.15292752715784,0.1680472502176,13.5,4.364,15.5160513195138,15.6677166666667,"Pterygophora","algae","count"
"12",4,0.8,"quart",-1.8443982572,0.265,0.001,0.703,0,0.031,0.218376606646358,1.16140175424489,0.166888517120464,13.473,4.341,15.4967785797536,15.6921166666667,"Pterygophora","algae","count"
"13",5,-4,"quart",2.79454011363636,0,0.294,0.526,0.032,0.148,0.201712866459523,1.21875327330974,0.472276109648232,9.556,3.647,14.8862968384921,15.179011707989,"Pycnopodia","mobile Invert","count"
"14",5,0,"quart",1.2661239290853,0.006,0.051,0.778,0.027,0.138,0.212032697599593,1.19874182388222,0.470962486125889,9.723,3.819,14.9626863971931,15.2794107571086,"Pycnopodia","mobile Invert","count"
"15",5,0.8,"quart",-1.96421859006148,0.355,0.045,0.412,0.024,0.164,0.210234007066001,1.20782004354185,0.470981412638941,9.668,3.731,14.9350033675341,15.2190403005464,"Pycnopodia","mobile Invert","count"
"16",6,-4,"quart",-3.83886174450549,0.018,0.148,0.415,0.272,0.147,0.222412692191949,1.3478518598837,0.330324289101614,4.746,2.392,15.1678473312402,15.2770146520147,"Haliotis rufescens","mobile Invert","count"
"17",6,0,"quart",-4.65639842098093,0.05,0.006,0.536,0.266,0.142,0.215731233679159,1.35744701439031,0.325014321521396,4.747,2.33,15.184963345011,15.2464804722979,"Haliotis rufescens","mobile Invert","count"
"18",6,0.8,"quart",-6.78159047169811,0.048,0,0.591,0.258,0.103,0.217691824722307,1.40812439223941,0.326185402938585,4.565,2.484,15.1688385102469,15.3270215633423,"Haliotis rufescens","mobile Invert","count"
"19",7,-4,"quart",-6.28481431908832,0.051,0.074,0.252,0.298,0.325,0.364783582340601,1.43959045333279,0.368522095428458,6.808,2.15,15.1960821071932,15.3268281101614,"Haliotis corrugata","mobile Invert","count"
"20",7,0,"quart",-6.39001741993958,0.019,0.003,0.413,0.338,0.227,0.367297865177695,1.44071489677424,0.349189152677524,6.932,2.031,15.2309259513565,15.3659365558912,"Haliotis corrugata","mobile Invert","count"
"21",7,0.8,"quart",-15.0450242836041,0.09,0,0.289,0.323,0.298,0.362828923759692,1.43391306677215,0.374237612353597,6.83,1.982,15.2011881315796,15.2749630723781,"Haliotis corrugata","mobile Invert","count"
"22",8,-4,"quart",0.991944308,0.009,0.624,0.319,0,0.048,0.368374163141028,0.941784936730946,0.451799328044025,16.828,5.006,15.3650331699346,15.6106,"Lithopoma","mobile Invert","count"
"23",8,0,"quart",-0.5792045601,0.095,0.12,0.752,0,0.033,0.366615104782504,0.93388373218105,0.451070092041736,16.802,5.019,15.3713733660131,15.5927833333333,"Lithopoma","mobile Invert","count"
"24",8,0.8,"quart",-3.971516987,0.397,0,0.546,0,0.057,0.366275998361402,0.940011598437578,0.450880749144192,16.796,5.021,15.3802663398693,15.5827666666667,"Lithopoma","mobile Invert","count"
"25",9,-4,"quart",1.327455053,0.004,0.234,0.707,0,0.055,0.136802069084685,1.2545362527571,0.20380762898081,10.604,3.407,15.1987885225885,15.53935,"Eisenia","algae","count"
"26",9,0,"quart",0.1296665104,0.028,0.018,0.94,0,0.014,0.135231991240643,1.25332072808957,0.199477216999794,10.619,3.357,15.2322063381063,15.6018,"Eisenia","algae","count"
"27",9,0.8,"quart",-1.4220501243,0.158,0,0.798,0,0.044,0.136206144701695,1.25935311533563,0.204699432325015,10.565,3.441,15.2107304057054,15.5509333333333,"Eisenia","algae","count"
"28",10,-4,"quart",1.5567188,0,0.89,0.104,0,0.006,0.236211568234228,0.704519311281463,0.208080921244788,17.202,5.353,15.4177048202614,15.61635,"P. giganteus","mobile Invert","count"
"29",10,0,"quart",0.0470333729,0.109,0.074,0.817,0,0,0.239461150306501,0.706684290312099,0.210814484550559,17.203,5.373,15.3803815359477,15.601,"P. giganteus","mobile Invert","count"
"30",10,0.8,"quart",-1.66591521101,0.87,0,0.13,0,0,0.238952012847343,0.706254368935188,0.212917534090929,17.178,5.369,15.3812700980392,15.58915,"P. giganteus","mobile Invert","count"
"31",11,-4,"quart",1.779122366,0,0.69,0.246,0,0.064,0.353998313785817,0.722869615107978,0.300260424140397,17.071,5.414,15.4410269607843,15.6441666666667,"Patiria","mobile Invert","count"
"32",11,0,"quart",0.288366119,0.088,0.092,0.766,0,0.054,0.360063586679788,0.713094580685916,0.28885220250201,17.088,5.419,15.4453668300654,15.6471,"Patiria","mobile Invert","count"
"33",11,0.8,"quart",-1.2626792066,0.753,0,0.19,0,0.057,0.354351779923878,0.72110268289515,0.299385903535474,17.072,5.422,15.4458954248366,15.6320166666667,"Patiria","mobile Invert","count"
"34",12,-4,"quart",1.23764943,0.001,0.649,0.289,0,0.061,0.348867508890221,0.810127278136573,0.23090133343409,17.39,5.477,15.2901552287582,15.4758666666667,"Megathura","mobile Invert","count"
"35",12,0,"quart",-0.2082497056,0.055,0.104,0.748,0,0.093,0.347733789245448,0.806550752638378,0.232160086648696,17.406,5.477,15.2750196078431,15.42395,"Megathura","mobile Invert","count"
"36",12,0.8,"quart",-1.73638002,0.671,0,0.219,0,0.11,0.348302503955676,0.806671671197656,0.240450284098016,17.401,5.482,15.3082120098039,15.4936833333333,"Megathura","mobile Invert","count"
"37",16,-4,"quart",-Inf,0.024,0.005,0.487,0.03,0.454,-0.0111442073341155,2.12845830231805,0.521718022134798,7.116,3.239,14.6133727183469,14.9540721649485,"Desmarestia","algae","pc"
"38",16,0,"quart",-Inf,0.063,0.013,0.574,0.03,0.32,-0.00962727907718758,2.09646968459378,0.517082442896744,7.162,3.232,14.6955459603398,14.9904295532646,"Desmarestia","algae","pc"
"39",16,0.8,"quart",-Inf,0.174,0.015,0.514,0.036,0.261,-0.00553605255438027,2.11894980850254,0.516950030150479,7.116,3.246,14.6528690880351,14.9688105117566,"Desmarestia","algae","pc"
"40",17,-4,"quart",1.08910594117647,0.002,0.117,0.479,0,0.402,0.370716733640064,0.923710222454123,0.2501737414841,14.381,4.51,15.5501674697851,15.6640166666667,"Cystoseira","algae","pc"
